panel,seed,model,entity,period,auc,n
IMBALANCED (entry/exit allowed),0,LogReg,E_seen,P_seen,0.7336416755021407,5155
IMBALANCED (entry/exit allowed),0,LogReg,E_unseen,P_seen,0.7383321382250013,11110
IMBALANCED (entry/exit allowed),0,LogReg,E_seen,P_unseen,0.7014979670912889,15447
IMBALANCED (entry/exit allowed),0,LogReg,E_unseen,P_unseen,0.6796393150501753,6629
IMBALANCED (entry/exit allowed),0,RF,E_seen,P_seen,0.7825438193655249,5155
IMBALANCED (entry/exit allowed),0,RF,E_unseen,P_seen,0.7443633072946715,11110
IMBALANCED (entry/exit allowed),0,RF,E_seen,P_unseen,0.7178799830198614,15447
IMBALANCED (entry/exit allowed),0,RF,E_unseen,P_unseen,0.6915196259086506,6629
IMBALANCED (entry/exit allowed),0,GBM,E_seen,P_seen,0.7571619364255022,5155
IMBALANCED (entry/exit allowed),0,GBM,E_unseen,P_seen,0.747813823919766,11110
IMBALANCED (entry/exit allowed),0,GBM,E_seen,P_unseen,0.716921794039465,15447
IMBALANCED (entry/exit allowed),0,GBM,E_unseen,P_unseen,0.6939024492328667,6629
IMBALANCED (entry/exit allowed),1,LogReg,E_seen,P_seen,0.7289371209256069,5182
IMBALANCED (entry/exit allowed),1,LogReg,E_unseen,P_seen,0.7284126906311834,10978
IMBALANCED (entry/exit allowed),1,LogReg,E_seen,P_unseen,0.6939453667773322,15472
IMBALANCED (entry/exit allowed),1,LogReg,E_unseen,P_unseen,0.6965706753890811,6604
IMBALANCED (entry/exit allowed),1,RF,E_seen,P_seen,0.7690708562703983,5182
IMBALANCED (entry/exit allowed),1,RF,E_unseen,P_seen,0.7285945683689349,10978
IMBALANCED (entry/exit allowed),1,RF,E_seen,P_unseen,0.709701144104921,15472
IMBALANCED (entry/exit allowed),1,RF,E_unseen,P_unseen,0.6971630157552067,6604
IMBALANCED (entry/exit allowed),1,GBM,E_seen,P_seen,0.746117682901206,5182
IMBALANCED (entry/exit allowed),1,GBM,E_unseen,P_seen,0.7379937031207523,10978
IMBALANCED (entry/exit allowed),1,GBM,E_seen,P_unseen,0.7060580124230802,15472
IMBALANCED (entry/exit allowed),1,GBM,E_unseen,P_unseen,0.7059228583285662,6604
IMBALANCED (entry/exit allowed),2,LogReg,E_seen,P_seen,0.7359259976363544,5160
IMBALANCED (entry/exit allowed),2,LogReg,E_unseen,P_seen,0.7273284253003933,11086
IMBALANCED (entry/exit allowed),2,LogReg,E_seen,P_unseen,0.6910066404659404,15485
IMBALANCED (entry/exit allowed),2,LogReg,E_unseen,P_unseen,0.7043383215812293,6591
IMBALANCED (entry/exit allowed),2,RF,E_seen,P_seen,0.7782260554069751,5160
IMBALANCED (entry/exit allowed),2,RF,E_unseen,P_seen,0.7320165291762798,11086
IMBALANCED (entry/exit allowed),2,RF,E_seen,P_unseen,0.707535368777597,15485
IMBALANCED (entry/exit allowed),2,RF,E_unseen,P_unseen,0.70395262571681,6591
IMBALANCED (entry/exit allowed),2,GBM,E_seen,P_seen,0.7537419288601067,5160
IMBALANCED (entry/exit allowed),2,GBM,E_unseen,P_seen,0.7414458329617174,11086
IMBALANCED (entry/exit allowed),2,GBM,E_seen,P_unseen,0.7040447809433714,15485
IMBALANCED (entry/exit allowed),2,GBM,E_unseen,P_unseen,0.7121648667526327,6591
IMBALANCED (entry/exit allowed),3,LogReg,E_seen,P_seen,0.7350316675357567,5140
IMBALANCED (entry/exit allowed),3,LogReg,E_unseen,P_seen,0.7365775644195575,11185
IMBALANCED (entry/exit allowed),3,LogReg,E_seen,P_unseen,0.6901063055065303,15363
IMBALANCED (entry/exit allowed),3,LogReg,E_unseen,P_unseen,0.6951531219423266,6713
IMBALANCED (entry/exit allowed),3,RF,E_seen,P_seen,0.7813713485374963,5140
IMBALANCED (entry/exit allowed),3,RF,E_unseen,P_seen,0.7411923868341883,11185
IMBALANCED (entry/exit allowed),3,RF,E_seen,P_unseen,0.7164417279122082,15363
IMBALANCED (entry/exit allowed),3,RF,E_unseen,P_unseen,0.7007772141894544,6713
IMBALANCED (entry/exit allowed),3,GBM,E_seen,P_seen,0.7527020017390934,5140
IMBALANCED (entry/exit allowed),3,GBM,E_unseen,P_seen,0.7508239592939816,11185
IMBALANCED (entry/exit allowed),3,GBM,E_seen,P_unseen,0.707643528641859,15363
IMBALANCED (entry/exit allowed),3,GBM,E_unseen,P_unseen,0.7086531883575646,6713
IMBALANCED (entry/exit allowed),4,LogReg,E_seen,P_seen,0.7472951961015933,5167
IMBALANCED (entry/exit allowed),4,LogReg,E_unseen,P_seen,0.7285356878310021,11053
IMBALANCED (entry/exit allowed),4,LogReg,E_seen,P_unseen,0.6972195195033398,15501
IMBALANCED (entry/exit allowed),4,LogReg,E_unseen,P_unseen,0.682162153706089,6575
IMBALANCED (entry/exit allowed),4,RF,E_seen,P_seen,0.7876390364728729,5167
IMBALANCED (entry/exit allowed),4,RF,E_unseen,P_seen,0.7326427097321085,11053
IMBALANCED (entry/exit allowed),4,RF,E_seen,P_unseen,0.7150641353332241,15501
IMBALANCED (entry/exit allowed),4,RF,E_unseen,P_unseen,0.7002398118521346,6575
IMBALANCED (entry/exit allowed),4,GBM,E_seen,P_seen,0.7666354665590289,5167
IMBALANCED (entry/exit allowed),4,GBM,E_unseen,P_seen,0.7418137237426372,11053
IMBALANCED (entry/exit allowed),4,GBM,E_seen,P_unseen,0.7100997895068148,15501
IMBALANCED (entry/exit allowed),4,GBM,E_unseen,P_unseen,0.6975361998238206,6575
